Notes,Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%
Synthetic mixture data,c1ccccc1,Benzene,12.98,CCC1=CC(=C(C=C1)O)C=O,Vanillin,53.56,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.46,1.381,MIX0015,100
Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.29,CC(C)O,Isopropanol,36.13,c1ccccc1,Benzene,39.57,3.395,MIX0016,99.99
Synthetic mixture data,c1ccccc1,Benzene,22.28,CCO,Ethanol,25.34,c1ccccc1,Benzene,52.38,2.749,MIX0017,100
Synthetic mixture data,CC(C)O,Isopropanol,44.68,CCO,Ethanol,32.98,CC(=O)Oc1ccccc1C(=O)O,Aspirin,22.35,0.949,MIX0018,100.01
Synthetic mixture data,CC(C)O,Isopropanol,54.56,CC1=CC=CC=C1,Toluene,15.25,CC1=CC=CC=C1,Toluene,30.19,2.466,MIX0019,100
Synthetic mixture data,CC(C)O,Isopropanol,30.73,CC(C)O,Isopropanol,26.22,CCC1=CC(=C(C=C1)O)C=O,Vanillin,43.05,-1.906,MIX0020,100
Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,Vanillin,59.44,CC(C)O,Isopropanol,10.28,CC(C)O,Isopropanol,30.28,4.205,MIX0021,100
Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.1,CCO,Ethanol,44.95,CC1=CC=CC=C1,Toluene,15.96,4.558,MIX0022,100.01
Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,Vanillin,16.87,c1ccccc1,Benzene,71.65,CC1=CC=CC=C1,Toluene,11.48,4.828,MIX0023,100
Synthetic mixture data,CCC1=CC(=C(C=C1)O)C=O,Vanillin,29.32,c1ccccc1,Benzene,37.37,CCC1=CC(=C(C=C1)O)C=O,Vanillin,33.31,3.188,MIX0024,100
Synthetic mixture data,CCO,Ethanol,54.96,CCC1=CC(=C(C=C1)O)C=O,Vanillin,33.56,CCC1=CC(=C(C=C1)O)C=O,Vanillin,11.47,-3.508,MIX0025,99.99
Synthetic mixture data,CC(C)O,Isopropanol,44,CC(=O)Oc1ccccc1C(=O)O,Aspirin,35.78,CC(=O)Oc1ccccc1C(=O)O,Aspirin,20.21,4.069,MIX0026,99.99
Synthetic mixture data,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,55.53,CCO,Ethanol,23,CCO,Ethanol,21.47,-3.373,MIX0027,100
Synthetic mixture data,CC1=CC=CC=C1,Toluene,17.83,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.98,CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.2,1.406,MIX0028,100.01
Synthetic mixture data,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.79,CCO,Ethanol,40.53,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.68,4.921,MIX0029,100
Synthetic mixture data,CCO,Ethanol,52.98,CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.25,CC1=CC=CC=C1,Toluene,10.77,5.337,MIX0030,100
