Compound_Name,SMILES,logS
Compound_042,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.661
Compound_043,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.364
Compound_044,CCO,-0.259
Compound_045,CC(C)O,-1.259
Compound_046,CC(C)(C)O,-1.05
Compound_047,c1ccccc1,-1.658
Compound_048,CC1=CC=CC=C1,-1.407
Compound_049,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-4.011
Compound_050,CCC1=CC(=C(C=C1)O)C=O,-2.404
Compound_051,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.617
Compound_052,C1CC1C1CC1C1CC1,-1.765
Compound_053,CC(=O)Oc1ccccc1C(=O)O,-2.684
Compound_054,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.793
Compound_055,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.706
Compound_056,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.305
Compound_057,CCO,-0.558
Compound_058,CC(C)O,-0.561
Compound_059,CC(C)(C)O,-1.321
Compound_060,c1ccccc1,-1.393
Compound_061,CC1=CC=CC=C1,-1.362
Compound_062,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.972
Compound_063,CCC1=CC(=C(C=C1)O)C=O,-2.01
Compound_064,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-13.769
Compound_065,C1CC1C1CC1C1CC1,-2.437
Compound_066,CC(=O)Oc1ccccc1C(=O)O,-2.111
Compound_067,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.986
Compound_068,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.998
Compound_069,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.561
Compound_070,CCO,-0.613
Compound_071,CC(C)O,-1.187
Compound_072,CC(C)(C)O,-1.136
Compound_073,c1ccccc1,-1.012
Compound_074,CC1=CC=CC=C1,-1.165
Compound_075,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.934
Compound_076,CCC1=CC(=C(C=C1)O)C=O,-2.154
Compound_077,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.903
Compound_078,C1CC1C1CC1C1CC1,-2.446
Compound_079,CC(=O)Oc1ccccc1C(=O)O,-2.638
Compound_080,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.712
Compound_081,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.959
Compound_082,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.373
Compound_083,CCO,-0.759
Compound_084,CC(C)O,-0.928
Compound_085,CC(C)(C)O,-0.725
Compound_086,c1ccccc1,-1.06
Compound_087,CC1=CC=CC=C1,-1.339
Compound_088,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.975
Compound_089,CCC1=CC(=C(C=C1)O)C=O,-2.219
Compound_090,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.774
Compound_091,C1CC1C1CC1C1CC1,-1.886
Compound_092,CC(=O)Oc1ccccc1C(=O)O,-2.369
Compound_093,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.775
Compound_094,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.974
Compound_095,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.172
Compound_096,CCO,-0.694
Compound_097,CC(C)O,-0.525
Compound_098,CC(C)(C)O,-2.352
Compound_099,c1ccccc1,-1.184
Compound_100,CC1=CC=CC=C1,-1.265
