Sample_ID,Compound_1_Name,Compound_2_Name,Compound_3_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_SMILES,Compound_2_WT%,Compound_3_SMILES,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Boiling_Point_C(Target)
MIX_DBG0037,Benzene,Ibuprofen,Caffeine,c1ccccc1,34.71,CC(C)Cc1ccc(cc1)C(C)C(=O)O,46.72,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,18.57,22.08,41.93,1.807,9.84,957.6,1.82,0.72
MIX_DBG0038,Ethanol,Ibuprofen,Vanillin,CCO,42.17,CC(C)Cc1ccc(cc1)C(C)C(=O)O,12.85,CCC1=CC(=C(C=C1)O)C=O,44.98,59.34,68.7,1.936,8.76,668.3,14.14,5.085
MIX_DBG0039,Vanillin,Benzene,Ibuprofen,CCC1=CC(=C(C=C1)O)C=O,34.12,c1ccccc1,37.66,CC(C)Cc1ccc(cc1)C(C)C(=O)O,28.21,42.12,84.77,1.044,7.23,518.7,9.81,2.967
MIX_DBG0040,Ibuprofen,Aspirin,Benzene,CC(C)Cc1ccc(cc1)C(C)C(=O)O,38.14,CC(=O)Oc1ccccc1C(=O)O,32,c1ccccc1,29.87,27.17,39.2,1.143,9.23,531.4,12.44,2.314
MIX_DBG0041,Ibuprofen,Toluene,Vanillin,CC(C)Cc1ccc(cc1)C(C)C(=O)O,13.43,CC1=CC=CC=C1,48.52,CCC1=CC(=C(C=C1)O)C=O,38.05,59.21,54.68,0.933,9,555.5,8.64,2.558
MIX_DBG0042,Isopropanol,Ibuprofen,Toluene,CC(C)O,16.84,CC(C)Cc1ccc(cc1)C(C)C(=O)O,18.04,CC1=CC=CC=C1,65.12,25.94,58.24,0.964,4.79,555.1,16.85,0.492
MIX_DBG0043,Ethanol,Benzene,Ibuprofen,CCO,30.37,c1ccccc1,30.73,CC(C)Cc1ccc(cc1)C(C)C(=O)O,38.9,75.49,63.16,1.353,6.2,986,13.42,4.431
MIX_DBG0044,Vanillin,Vanillin,Aspirin,CCC1=CC(=C(C=C1)O)C=O,32.57,CCC1=CC(=C(C=C1)O)C=O,34.28,CC(=O)Oc1ccccc1C(=O)O,33.15,44.42,87.08,1.556,4.14,158.1,14.7,4.244
MIX_DBG0045,Caffeine,Benzene,Vanillin,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,49.38,c1ccccc1,36.25,CCC1=CC(=C(C=C1)O)C=O,14.37,45.66,77.35,1.864,8.23,371.8,22.99,1.848
MIX_DBG0046,Ibuprofen,Caffeine,Benzene,CC(C)Cc1ccc(cc1)C(C)C(=O)O,35.13,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,15.3,c1ccccc1,49.57,61.95,68.44,1.352,7.48,859.1,6.8,3.71
MIX_DBG0047,Aspirin,Ibuprofen,Ethanol,CC(=O)Oc1ccccc1C(=O)O,26.09,CC(C)Cc1ccc(cc1)C(C)C(=O)O,50.33,CCO,23.57,46.08,55.82,1.795,7.45,262.2,21.23,2.986
MIX_DBG0048,Ethanol,Isopropanol,Ibuprofen,CCO,49.35,CC(C)O,41.36,CC(C)Cc1ccc(cc1)C(C)C(=O)O,9.3,75.6,85.54,0.947,7.97,255.9,5.6,4.663
MIX_DBG0049,Isopropanol,Caffeine,Isopropanol,CC(C)O,26.27,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,29.24,CC(C)O,44.49,35.36,47.79,1.29,6.92,190.2,12.77,1.887
MIX_DBG0050,Ethanol,Aspirin,Aspirin,CCO,24.78,CC(=O)Oc1ccccc1C(=O)O,41.02,CC(=O)Oc1ccccc1C(=O)O,34.2,71.95,83.04,1.127,4.25,930.6,20,4.462
