Compound_Name,SMILES,logS,MolecularWeight,NumAtoms
Compound_050,CCC1=CC(=C(C=C1)O)C=O,-2.404,173.94178221021082,36
Compound_051,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.617,487.83385110582344,36
Compound_052,C1CC1C1CC1C1CC1,-1.765,410.05312934444584,28
Compound_053,CC(=O)Oc1ccccc1C(=O)O,-2.684,475.7995766256756,45
Compound_054,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.793,457.93094017105955,16
Compound_055,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.706,339.1599915244341,43
Compound_056,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.305,468.74969400924675,6
Compound_057,CCO,-0.558,135.3970008207678,7
Compound_058,CC(C)O,-0.561,178.3931449676581,41
Compound_059,CC(C)(C)O,-1.321,118.09091556421522,21
Compound_060,c1ccccc1,-1.393,230.13213230530573,6
Compound_061,CC1=CC=CC=C1,-1.362,255.4709158757928,6
Compound_062,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.972,208.53961270955836,32
Compound_063,CCC1=CC(=C(C=C1)O)C=O,-2.01,431.4950036607717,27
Compound_064,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-13.769,242.70133067743572,41
Compound_065,C1CC1C1CC1C1CC1,-2.437,212.3738038749523,36
Compound_066,CC(=O)Oc1ccccc1C(=O)O,-2.111,317.0784332632994,37
Compound_067,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.986,156.36968998990505,5
Compound_068,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.998,420.8787923016159,23
Compound_069,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.561,129.82025747190832,6
Compound_070,CCO,-0.613,494.7547746402069,48
Compound_071,CC(C)O,-1.187,408.89790771866296,30
Compound_072,CC(C)(C)O,-1.136,179.48627261366897,36
Compound_073,c1ccccc1,-1.012,102.20884684944096,10
Compound_074,CC1=CC=CC=C1,-1.165,426.18457138193367,36
Compound_075,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.934,382.74293753904686,8
Compound_076,CCC1=CC(=C(C=C1)O)C=O,-2.154,391.60286721639494,15
Compound_077,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.903,408.5081386743783,21
Compound_078,C1CC1C1CC1C1CC1,-2.446,129.61786069363615,42
Compound_079,CC(=O)Oc1ccccc1C(=O)O,-2.638,243.38629141770903,28
Compound_080,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.712,146.34762381005189,9
Compound_081,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.959,445.2413703502374,38
Compound_082,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.373,349.3192507310232,10
Compound_083,CCO,-0.759,232.35920994105967,26
Compound_084,CC(C)O,-0.928,125.42334011440946,15
Compound_085,CC(C)(C)O,-0.725,224.3929286862649,20
Compound_086,c1ccccc1,-1.06,230.07332881069883,37
Compound_087,CC1=CC=CC=C1,-1.339,391.84247133522564,13
Compound_088,CC1=CC2=C(C=C1C=O)C(=O)C3=C(O2)C=CC(=C3)O,-3.975,355.0229885420853,10
Compound_089,CCC1=CC(=C(C=C1)O)C=O,-2.219,454.88509703053063,20
Compound_090,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC,-12.774,288.8859700647797,33
Compound_091,C1CC1C1CC1C1CC1,-1.886,147.83769837532068,7
Compound_092,CC(=O)Oc1ccccc1C(=O)O,-2.369,385.297914889198,24
Compound_093,CC(C)Cc1ccc(cc1)C(C)C(=O)O,-2.775,404.31401944675895,40
Compound_094,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,-1.974,324.5108790277985,23
Compound_095,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,-3.172,408.3868719818244,30
Compound_096,CCO,-0.694,297.5182385457563,7
Compound_097,CC(C)O,-0.525,309.0931317527976,23
Compound_098,CC(C)(C)O,-2.352,271.0164073434198,24
Compound_099,c1ccccc1,-1.184,110.16765069763808,36
Compound_100,CC1=CC=CC=C1,-1.265,143.15657079732176,11
