Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_pct,Pressure_atm,pH,StirringSpeed_rpm,ReactionTime_h,Boiling_Point_C,Sample_ID,Total_WT%,Notes
CCO,Ethanol,36.67,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.36,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,22.97,61.23,34.14,0.836,4.64,833.8,19.9,4.442,MIX_DBG0015,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.12,c1ccccc1,Benzene,14.45,c1ccccc1,Benzene,42.43,27.02,74.98,1.328,6.19,602.8,3.58,-1.54,MIX_DBG0016,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,59.18,CC(=O)Oc1ccccc1C(=O)O,Aspirin,20.44,CCC1=CC(=C(C=C1)O)C=O,Vanillin,20.38,38.4,43.97,1.574,5.19,761.2,3.62,2.896,MIX_DBG0017,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,11.99,c1ccccc1,Benzene,57.15,CCO,Ethanol,30.85,73.46,69.72,1.271,7.76,431.8,17.33,6.468,MIX_DBG0018,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,21.89,CC(C)O,Isopropanol,37.77,CC1=CC=CC=C1,Toluene,40.34,29.13,41.05,1.034,4.39,710.6,11.28,1.098,MIX_DBG0019,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,12.39,CCO,Ethanol,27.88,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,59.72,57.41,83.74,1.27,6.59,258.3,21.03,7.358,MIX_DBG0020,99.99,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,45.02,CCO,Ethanol,28.93,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,26.05,72.96,71.8,1.304,6.14,513.5,4.66,2.374,MIX_DBG0021,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.33,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.49,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,67.18,64.26,31.68,0.934,6.29,214.3,16.26,6.379,MIX_DBG0022,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,34.14,CC1=CC=CC=C1,Toluene,16.5,CCO,Ethanol,49.35,59.64,77.12,1.636,6.41,168.3,0.53,3.628,MIX_DBG0023,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.34,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.2,CCO,Ethanol,34.45,73.24,76.71,1.031,6.81,114.8,23.76,6.307,MIX_DBG0024,99.99000000000001,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,55.87,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,9.51,CCC1=CC(=C(C=C1)O)C=O,Vanillin,34.63,36.87,70.24,1.083,8.01,544.1,20.26,5.92,MIX_DBG0025,100.00999999999999,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,29.57,CC(C)O,Isopropanol,34.38,c1ccccc1,Benzene,36.05,56.5,51.01,1.816,5.59,340.6,22.5,2.188,MIX_DBG0026,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,25.2,CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.47,51.58,81.46,1.982,9.61,636.6,22.57,9.055,MIX_DBG0027,99.99,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,43.03,CCO,Ethanol,20.63,CC1=CC=CC=C1,Toluene,36.34,28.9,37.88,0.913,7.96,708.4,13.85,2.41,MIX_DBG0028,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,14.09,CCO,Ethanol,51.24,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.67,57.66,74.31,1.23,5.51,319.4,23.07,4.575,MIX_DBG0029,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,23.09,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,48.17,CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.74,52.3,67.59,0.918,9.82,350.6,4.2,-0.292,MIX_DBG0030,100.0,Synthetic mixture data with numeric features for debugging
CC1=CC=CC=C1,Toluene,48.79,CC1=CC=CC=C1,Toluene,35.36,CCO,Ethanol,15.85,46.33,33.47,1.327,9.6,542.2,21.98,3.651,MIX_DBG0031,100.0,Synthetic mixture data with numeric features for debugging
CC(C)O,Isopropanol,46.22,CCO,Ethanol,37.79,c1ccccc1,Benzene,16.0,55.07,76.9,1.956,6.58,135.6,17.56,4.236,MIX_DBG0032,100.00999999999999,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,51.78,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,25.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,22.81,20.05,56.04,1.691,9.86,149.6,17.96,0.974,MIX_DBG0033,100.0,Synthetic mixture data with numeric features for debugging
c1ccccc1,Benzene,14.87,CC(C)O,Isopropanol,56.17,CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.95,77.86,48.76,1.383,4.64,666.4,2.5,2.711,MIX_DBG0034,99.99000000000001,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,24.16,CCO,Ethanol,32.46,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.38,27.31,32.73,1.1,7.44,203.8,3.46,-0.112,MIX_DBG0035,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,32.2,CCC1=CC(=C(C=C1)O)C=O,Vanillin,29.02,CC(C)O,Isopropanol,38.78,20.9,79.38,1.583,4.8,922.0,17.95,2.742,MIX_DBG0036,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,16.13,CC(=O)Oc1ccccc1C(=O)O,Aspirin,45.6,c1ccccc1,Benzene,38.27,60.72,77.02,1.578,8.51,977.1,21.24,5.162,MIX_DBG0037,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.06,CCO,Ethanol,25.56,CC(=O)Oc1ccccc1C(=O)O,Aspirin,41.38,29.95,46.38,1.087,4.92,178.3,5.67,3.495,MIX_DBG0038,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,21.68,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.52,CC(=O)Oc1ccccc1C(=O)O,Aspirin,64.8,57.58,58.03,1.755,4.81,591.8,0.57,2.331,MIX_DBG0039,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.06,CC(=O)Oc1ccccc1C(=O)O,Aspirin,41.94,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,25.0,70.92,65.78,1.488,6.7,163.5,6.22,3.808,MIX_DBG0040,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.91,c1ccccc1,Benzene,53.25,CC1=CC=CC=C1,Toluene,30.84,26.4,67.87,0.945,7.69,514.5,13.03,3.105,MIX_DBG0041,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,13.78,CCC1=CC(=C(C=C1)O)C=O,Vanillin,21.25,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,64.97,41.75,37.19,1.295,8.61,364.0,9.08,1.946,MIX_DBG0042,100.0,Synthetic mixture data with numeric features for debugging
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,21.46,c1ccccc1,Benzene,48.68,CCO,Ethanol,29.86,29.22,67.89,1.099,6.39,553.0,18.67,1.744,MIX_DBG0043,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.64,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,44.36,c1ccccc1,Benzene,18.0,32.85,80.87,1.986,5.65,919.0,14.05,2.092,MIX_DBG0044,100.0,Synthetic mixture data with numeric features for debugging
CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.79,CC1=CC=CC=C1,Toluene,29.04,CC1=CC=CC=C1,Toluene,31.17,54.95,86.71,0.894,7.6,141.6,11.31,3.424,MIX_DBG0045,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,27.17,CC1=CC=CC=C1,Toluene,36.55,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,36.28,61.52,70.44,1.141,6.8,280.1,17.55,3.637,MIX_DBG0046,100.0,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,44.09,CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.95,CC1=CC=CC=C1,Toluene,18.96,63.42,53.23,1.574,6.87,474.2,10.46,4.223,MIX_DBG0047,100.0,Synthetic mixture data with numeric features for debugging
CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.79,CCO,Ethanol,21.8,CC(=O)Oc1ccccc1C(=O)O,Aspirin,58.41,64.61,87.1,0.869,4.86,243.3,0.54,2.91,MIX_DBG0048,100.0,Synthetic mixture data with numeric features for debugging
CCO,Ethanol,38.85,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.64,CC(C)O,Isopropanol,21.52,77.34,49.12,1.646,4.14,769.0,15.14,2.841,MIX_DBG0049,100.01,Synthetic mixture data with numeric features for debugging
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.25,CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.07,CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.68,44.44,71.28,1.598,7.73,437.2,10.77,2.246,MIX_DBG0050,100.0,Synthetic mixture data with numeric features for debugging
