Compound_1_Name,Compound_1_SMILES,Compound_1_WT%,Compound_2_Name,Compound_2_SMILES,Compound_2_WT%,Compound_3_Name,Compound_3_SMILES,Compound_3_WT%,Compound_4_Name,Compound_4_SMILES,Compound_4_WT%,Sample_ID,Target_BoilingPoint_C
Aspirin,CC(=O)Oc1ccccc1C(=O)O,28.85,Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,57.21,Acetic Acid,CC(=O)O,13.94,,,,MIX_SMILES_0040,108.15
Acetic Acid,CC(=O)O,49.77,Benzene,c1ccccc1,50.23,,,,,,,MIX_SMILES_0041,35.67
Isopropanol,CC(C)C,49.91,Benzene,c1ccccc1,50.09,,,,,,,MIX_SMILES_0042,36.16
Benzene,c1ccccc1,61.01,Isopropanol,CC(C)C,38.99,,,,,,,MIX_SMILES_0043,34.87
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,26.57,Cyclohexane,C1CCCCC1,28.3,Ethanol,CCO,45.12,,,,MIX_SMILES_0044,55.58
Benzene,c1ccccc1,80.29,Cyclohexane,C1CCCCC1,19.71,,,,,,,MIX_SMILES_0045,40.97
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,33.3,Benzene,c1ccccc1,32.45,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,20.16,Cyclohexane,C1CCCCC1,14.09,MIX_SMILES_0046,92.13
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,36.76,Acetic Acid,CC(=O)O,63.24,,,,,,,MIX_SMILES_0047,70.79
Isopropanol,CC(C)C,39.67,Ethanol,CCO,60.33,,,,,,,MIX_SMILES_0048,20.39
Ibuprofen,CC(C)Cc1ccc(cc1)C(C)C(=O)O,51.56,Cyclohexane,C1CCCCC1,21.98,Aspirin,CC(=O)Oc1ccccc1C(=O)O,26.46,,,,MIX_SMILES_0049,104.57
Isopropanol,CC(C)C,70.26,Caffeine,CN1=C(C(N(C1=O)=O)C)N(C)C,29.74,,,,,,,MIX_SMILES_0050,55.77
