Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Target_Property,Sample_ID,Total_WT%,Notes
CC(C)O,Isopropanol,29.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.13,c1ccccc1,Benzene,35.55,2.497,MIX0018,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,20.82,CCO,Ethanol,40.2,CCO,Ethanol,38.98,0.83,MIX0019,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.77,CCO,Ethanol,43.46,c1ccccc1,Benzene,8.76,0.279,MIX0020,99.99000000000001,Synthetic mixture data
CC(C)O,Isopropanol,10.77,CCC1=CC(=C(C=C1)O)C=O,Vanillin,41.07,CC(=O)Oc1ccccc1C(=O)O,Aspirin,48.16,4.54,MIX0021,100.0,Synthetic mixture data
CC(C)O,Isopropanol,22.12,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.47,CC(=O)Oc1ccccc1C(=O)O,Aspirin,61.41,2.657,MIX0022,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,39.5,CC(C)O,Isopropanol,24.41,CC1=CC=CC=C1,Toluene,36.09,2.329,MIX0023,100.0,Synthetic mixture data
c1ccccc1,Benzene,37.12,CCO,Ethanol,42.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,20.56,2.444,MIX0024,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.3,CC(=O)Oc1ccccc1C(=O)O,Aspirin,45.99,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,25.71,3.138,MIX0025,100.0,Synthetic mixture data
CC(C)O,Isopropanol,25.05,CCO,Ethanol,39.69,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.25,-2.147,MIX0026,99.99,Synthetic mixture data
CCO,Ethanol,31.57,CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.69,CCC1=CC(=C(C=C1)O)C=O,Vanillin,31.74,1.105,MIX0027,99.99999999999999,Synthetic mixture data
CC(C)O,Isopropanol,33.83,CC(C)O,Isopropanol,31.29,CCC1=CC(=C(C=C1)O)C=O,Vanillin,34.88,3.919,MIX0028,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,46.36,CC(C)O,Isopropanol,36.57,CC1=CC=CC=C1,Toluene,17.07,3.89,MIX0029,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,47.69,CC1=CC=CC=C1,Toluene,39.5,CCO,Ethanol,12.81,0.668,MIX0030,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.89,CC1=CC=CC=C1,Toluene,56.6,CC1=CC=CC=C1,Toluene,29.51,2.361,MIX0031,100.00000000000001,Synthetic mixture data
CC1=CC=CC=C1,Toluene,39.6,CC1=CC=CC=C1,Toluene,7.83,CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.57,1.882,MIX0032,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,37.71,CC(=O)Oc1ccccc1C(=O)O,Aspirin,30.5,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,31.79,-0.773,MIX0033,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,10.12,CC(C)O,Isopropanol,60.0,c1ccccc1,Benzene,29.88,-0.461,MIX0034,100.0,Synthetic mixture data
CC(C)O,Isopropanol,33.35,CC1=CC=CC=C1,Toluene,34.55,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.1,3.661,MIX0035,100.0,Synthetic mixture data
c1ccccc1,Benzene,48.6,CC1=CC=CC=C1,Toluene,33.11,CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.29,5.859,MIX0036,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,33.45,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,23.94,CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.62,3.476,MIX0037,100.00999999999999,Synthetic mixture data
CC(C)O,Isopropanol,42.59,CC(C)O,Isopropanol,8.19,CCO,Ethanol,49.22,-0.941,MIX0038,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.21,CC(C)O,Isopropanol,48.17,CC(=O)Oc1ccccc1C(=O)O,Aspirin,14.63,1.396,MIX0039,100.00999999999999,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,13.2,CCC1=CC(=C(C=C1)O)C=O,Vanillin,16.74,CC1=CC=CC=C1,Toluene,70.06,-1.256,MIX0040,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.62,CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.05,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.32,0.189,MIX0041,99.99000000000001,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,41.46,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,43.97,CC(C)O,Isopropanol,14.58,4.838,MIX0042,100.01,Synthetic mixture data
c1ccccc1,Benzene,33.56,c1ccccc1,Benzene,29.65,c1ccccc1,Benzene,36.79,1.574,MIX0043,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,22.41,CC(C)O,Isopropanol,43.67,c1ccccc1,Benzene,33.93,2.188,MIX0044,100.00999999999999,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.45,CCC1=CC(=C(C=C1)O)C=O,Vanillin,45.37,CC(=O)Oc1ccccc1C(=O)O,Aspirin,12.18,2.851,MIX0045,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.39,CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.71,CCO,Ethanol,25.9,3.455,MIX0046,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,44.9,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,22.26,CC1=CC=CC=C1,Toluene,32.84,2.081,MIX0047,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,67.57,CCO,Ethanol,19.28,CCC1=CC(=C(C=C1)O)C=O,Vanillin,13.14,0.664,MIX0048,99.99,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,9.3,CCO,Ethanol,28.45,CCC1=CC(=C(C=C1)O)C=O,Vanillin,62.25,3.443,MIX0049,100.0,Synthetic mixture data
c1ccccc1,Benzene,37.38,CC1=CC=CC=C1,Toluene,15.15,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,47.47,0.34,MIX0050,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.72,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,55.37,CC1=CC=CC=C1,Toluene,24.91,4.397,MIX0051,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,46.31,CC1=CC=CC=C1,Toluene,6.92,CCO,Ethanol,46.76,-2.136,MIX0052,99.99000000000001,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,36.89,CCC1=CC(=C(C=C1)O)C=O,Vanillin,23.72,CC(C)O,Isopropanol,39.39,2.999,MIX0053,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,10.5,c1ccccc1,Benzene,23.98,CC(=O)Oc1ccccc1C(=O)O,Aspirin,65.52,1.271,MIX0054,100.0,Synthetic mixture data
c1ccccc1,Benzene,24.39,CC(C)O,Isopropanol,27.5,CCC1=CC(=C(C=C1)O)C=O,Vanillin,48.11,0.943,MIX0055,100.0,Synthetic mixture data
c1ccccc1,Benzene,46.81,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,37.76,CC1=CC=CC=C1,Toluene,15.43,-0.547,MIX0056,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,49.34,c1ccccc1,Benzene,25.25,CCO,Ethanol,25.42,0.222,MIX0057,100.01,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,24.73,c1ccccc1,Benzene,35.41,c1ccccc1,Benzene,39.86,-0.354,MIX0058,100.0,Synthetic mixture data
CC(C)O,Isopropanol,37.63,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,16.46,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,45.91,0.637,MIX0059,100.0,Synthetic mixture data
CCO,Ethanol,34.76,CC(C)O,Isopropanol,33.59,CCC1=CC(=C(C=C1)O)C=O,Vanillin,31.65,3.046,MIX0060,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,46.33,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.48,CC1=CC=CC=C1,Toluene,19.19,3.017,MIX0061,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,48.78,CC1=CC=CC=C1,Toluene,42.39,c1ccccc1,Benzene,8.83,-0.339,MIX0062,100.0,Synthetic mixture data
CCO,Ethanol,43.09,c1ccccc1,Benzene,37.14,CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.77,4.404,MIX0063,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,22.55,CCO,Ethanol,31.41,c1ccccc1,Benzene,46.04,4.244,MIX0064,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,16.8,CCO,Ethanol,38.23,CCC1=CC(=C(C=C1)O)C=O,Vanillin,44.97,1.519,MIX0065,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,25.04,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.94,CC1=CC=CC=C1,Toluene,32.02,4.216,MIX0066,100.0,Synthetic mixture data
CC(C)O,Isopropanol,57.78,CC(C)O,Isopropanol,26.72,c1ccccc1,Benzene,15.5,0.744,MIX0067,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,53.29,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,39.03,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,7.69,1.295,MIX0068,100.00999999999999,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.59,CC(C)O,Isopropanol,32.6,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.81,-0.58,MIX0069,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.47,CC(C)O,Isopropanol,39.57,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,9.95,-1.29,MIX0070,99.99,Synthetic mixture data
CC1=CC=CC=C1,Toluene,16.56,CCC1=CC(=C(C=C1)O)C=O,Vanillin,32.22,CCO,Ethanol,51.23,-0.2,MIX0071,100.00999999999999,Synthetic mixture data
CC1=CC=CC=C1,Toluene,43.34,CC(C)O,Isopropanol,37.44,CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.21,2.943,MIX0072,99.99000000000001,Synthetic mixture data
CCO,Ethanol,45.09,CCC1=CC(=C(C=C1)O)C=O,Vanillin,8.27,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,46.64,-0.374,MIX0073,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,7.5,CCC1=CC(=C(C=C1)O)C=O,Vanillin,49.84,c1ccccc1,Benzene,42.66,2.353,MIX0074,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.43,CC1=CC=CC=C1,Toluene,39.32,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.25,3.46,MIX0075,100.0,Synthetic mixture data
c1ccccc1,Benzene,35.7,CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.71,c1ccccc1,Benzene,37.59,0.272,MIX0076,100.0,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,64.1,CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.04,CC(C)O,Isopropanol,16.86,-2.358,MIX0077,99.99999999999999,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.59,c1ccccc1,Benzene,19.73,CC1=CC=CC=C1,Toluene,32.68,1.35,MIX0078,100.0,Synthetic mixture data
c1ccccc1,Benzene,27.54,CC(C)O,Isopropanol,25.05,CCC1=CC(=C(C=C1)O)C=O,Vanillin,47.4,3.525,MIX0079,99.99000000000001,Synthetic mixture data
CC1=CC=CC=C1,Toluene,37.18,CCO,Ethanol,15.57,CCO,Ethanol,47.24,-0.98,MIX0080,99.99000000000001,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,13.27,CC(C)O,Isopropanol,48.89,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,37.84,3.562,MIX0081,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,41.96,CCO,Ethanol,36.07,CC(C)O,Isopropanol,21.97,0.163,MIX0082,100.0,Synthetic mixture data
CC(C)O,Isopropanol,14.91,CC(=O)Oc1ccccc1C(=O)O,Aspirin,55.53,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,29.57,3.621,MIX0083,100.00999999999999,Synthetic mixture data
CC(C)O,Isopropanol,43.12,CCO,Ethanol,22.5,CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.38,1.93,MIX0084,100.0,Synthetic mixture data
CCO,Ethanol,53.11,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.94,CCO,Ethanol,21.96,-2.328,MIX0085,100.00999999999999,Synthetic mixture data
c1ccccc1,Benzene,29.44,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,46.15,CC(C)O,Isopropanol,24.41,4.072,MIX0086,100.0,Synthetic mixture data
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,50.84,CC1=CC=CC=C1,Toluene,21.37,c1ccccc1,Benzene,27.79,1.745,MIX0087,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,11.01,CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.76,CC(C)O,Isopropanol,48.23,1.14,MIX0088,100.0,Synthetic mixture data
CC1=CC=CC=C1,Toluene,9.48,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.89,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,47.63,1.605,MIX0089,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,41.82,c1ccccc1,Benzene,11.5,CCO,Ethanol,46.68,-0.278,MIX0090,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,36.83,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,41.84,CC(C)O,Isopropanol,21.33,1.194,MIX0091,100.0,Synthetic mixture data
CCC1=CC(=C(C=C1)O)C=O,Vanillin,35.14,c1ccccc1,Benzene,19.34,CCO,Ethanol,45.52,4.154,MIX0092,100.0,Synthetic mixture data
c1ccccc1,Benzene,22.41,CC(C)O,Isopropanol,43.81,CC1=CC=CC=C1,Toluene,33.78,0.744,MIX0093,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,29.94,CC(=O)Oc1ccccc1C(=O)O,Aspirin,9.44,CC1=CC=CC=C1,Toluene,60.62,2.593,MIX0094,100.0,Synthetic mixture data
c1ccccc1,Benzene,26.64,CCC1=CC(=C(C=C1)O)C=O,Vanillin,12.53,CC(C)O,Isopropanol,60.83,3.15,MIX0095,100.0,Synthetic mixture data
c1ccccc1,Benzene,27.5,CCC1=CC(=C(C=C1)O)C=O,Vanillin,26.25,CCO,Ethanol,46.25,4.02,MIX0096,100.0,Synthetic mixture data
c1ccccc1,Benzene,13.44,CC1=CC=CC=C1,Toluene,62.9,CC1=CC=CC=C1,Toluene,23.66,1.593,MIX0097,100.0,Synthetic mixture data
CC(=O)Oc1ccccc1C(=O)O,Aspirin,20.73,CC1=CC=CC=C1,Toluene,33.37,CCO,Ethanol,45.9,0.145,MIX0098,100.0,Synthetic mixture data
CCO,Ethanol,30.34,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,32.98,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,36.69,3.133,MIX0099,100.00999999999999,Synthetic mixture data
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.05,CCC1=CC(=C(C=C1)O)C=O,Vanillin,9.29,CCO,Ethanol,51.66,2.884,MIX0100,100.0,Synthetic mixture data
