Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_%,Pressure_MPa,Stirring_rpm,Target_Property,Sample_ID,Total_WT%,Notes
c1ccccc1,Benzene,13.56,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,64.63,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,21.82,52.25,44.01,0.192,368.6,2.329,MIX_NUM0018,100.00999999999999,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.47,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.83,c1ccccc1,Benzene,29.7,78.24,62.95,1.965,771.3,11.056,MIX_NUM0019,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,49.84,CCC1=CC(=C(C=C1)O)C=O,Vanillin,14.42,CC(C)O,Isopropanol,35.74,72.79,71.68,1.015,370.2,5.181,MIX_NUM0020,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,70.02,CC(C)O,Isopropanol,17.69,CC(=O)Oc1ccccc1C(=O)O,Aspirin,12.29,80.82,70.44,0.744,809.0,9.174,MIX_NUM0021,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,40.26,CC(=O)Oc1ccccc1C(=O)O,Aspirin,8.8,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,50.94,43.6,42.69,1.65,877.2,9.397,MIX_NUM0022,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,27.85,CC(=O)Oc1ccccc1C(=O)O,Aspirin,61.45,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,10.7,50.58,70.57,0.201,950.1,6.54,MIX_NUM0023,100.00000000000001,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,39.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,23.48,CC(C)O,Isopropanol,37.2,24.46,52.87,1.556,453.8,7.415,MIX_NUM0024,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,16.1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,24.95,c1ccccc1,Benzene,58.94,63.0,29.59,0.35,890.9,6.038,MIX_NUM0025,99.99,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,26.22,c1ccccc1,Benzene,22.47,CCC1=CC(=C(C=C1)O)C=O,Vanillin,51.31,51.04,38.48,0.853,389.5,6.182,MIX_NUM0026,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,39.82,CC(C)O,Isopropanol,18.18,CCC1=CC(=C(C=C1)O)C=O,Vanillin,42.0,61.86,35.8,1.431,326.4,5.378,MIX_NUM0027,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.44,CC(=O)Oc1ccccc1C(=O)O,Aspirin,17.45,c1ccccc1,Benzene,48.11,75.81,25.91,0.735,352.8,3.312,MIX_NUM0028,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,32.14,CC(=O)Oc1ccccc1C(=O)O,Aspirin,33.91,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,33.95,72.73,74.35,0.953,891.5,9.087,MIX_NUM0029,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,21.22,CC(C)O,Isopropanol,62.17,CCO,Ethanol,16.61,44.81,38.11,1.596,911.0,7.042,MIX_NUM0030,100.0,Synthetic mixture data with numeric conditions
