Compound_1_SMILES,Compound_1_Name,Compound_1_WT%,Compound_2_SMILES,Compound_2_Name,Compound_2_WT%,Compound_3_SMILES,Compound_3_Name,Compound_3_WT%,Temperature_C,Humidity_%,Pressure_MPa,Stirring_rpm,Target_Property,Sample_ID,Total_WT%,Notes
CC(=O)Oc1ccccc1C(=O)O,Aspirin,19.28,CCO,Ethanol,54.67,CCO,Ethanol,26.04,51.05,27.07,1.357,655.9,6.786,MIX_NUM0011,99.99000000000001,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,52.81,CCO,Ethanol,27.87,c1ccccc1,Benzene,19.31,80.19,75.36,1.065,761.1,10.226,MIX_NUM0012,99.99000000000001,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,42.75,CC(=O)Oc1ccccc1C(=O)O,Aspirin,25.58,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,31.67,46.15,41.97,1.761,830.8,7.377,MIX_NUM0013,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,46.04,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,11.04,CC1=CC=CC=C1,Toluene,42.92,66.55,38.5,0.428,166.8,3.774,MIX_NUM0014,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,26.39,c1ccccc1,Benzene,29.39,CC(C)O,Isopropanol,44.22,21.6,57.58,1.377,158.0,-0.072,MIX_NUM0015,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,42.94,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,38.22,c1ccccc1,Benzene,18.84,32.62,61.4,0.615,401.4,3.737,MIX_NUM0016,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,46.2,CC(=O)Oc1ccccc1C(=O)O,Aspirin,18.64,CC(=O)Oc1ccccc1C(=O)O,Aspirin,35.17,81.22,76.89,1.562,125.7,8.957,MIX_NUM0017,100.01,Synthetic mixture data with numeric conditions
CCO,Ethanol,33.9,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,30.77,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.34,70.28,31.46,0.831,874.4,7.252,MIX_NUM0018,100.01,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,15.8,c1ccccc1,Benzene,46.17,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.03,56.78,59.86,1.751,647.3,10.831,MIX_NUM0019,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,44.5,CC(C)O,Isopropanol,29.7,CCO,Ethanol,25.79,55.26,28.26,1.432,609.4,5.702,MIX_NUM0020,99.99000000000001,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,19.26,CC1=CC=CC=C1,Toluene,26.91,CC1=CC=CC=C1,Toluene,53.83,74.61,72.27,0.797,309.5,9.531,MIX_NUM0021,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,55.1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,27.39,CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.51,47.5,77.78,0.985,173.2,4.626,MIX_NUM0022,100.00000000000001,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,11.68,CC(=O)Oc1ccccc1C(=O)O,Aspirin,45.16,CC(=O)Oc1ccccc1C(=O)O,Aspirin,43.16,73.87,20.34,1.183,468.0,8.386,MIX_NUM0023,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,26.04,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,39.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,34.56,69.24,57.49,0.906,417.2,5.611,MIX_NUM0024,100.00999999999999,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,24.47,c1ccccc1,Benzene,8.75,CCC1=CC(=C(C=C1)O)C=O,Vanillin,66.78,28.4,58.61,1.131,519.1,3.176,MIX_NUM0025,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,32.11,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,46.92,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,20.97,40.67,50.36,0.117,313.0,4.965,MIX_NUM0026,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,38.02,CC(C)O,Isopropanol,39.77,CC1=CC=CC=C1,Toluene,22.21,46.48,66.68,0.468,686.3,5.668,MIX_NUM0027,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,46.8,CC(=O)Oc1ccccc1C(=O)O,Aspirin,15.44,CC1=CC=CC=C1,Toluene,37.76,66.74,27.47,0.988,799.3,6.287,MIX_NUM0028,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,24.78,CC(C)O,Isopropanol,45.65,CC1=CC=CC=C1,Toluene,29.57,65.54,30.8,1.3,104.5,3.645,MIX_NUM0029,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,21.03,CCO,Ethanol,16.11,c1ccccc1,Benzene,62.86,29.68,27.91,1.967,451.9,5.113,MIX_NUM0030,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,23.93,CC1=CC=CC=C1,Toluene,13.8,CC(=O)Oc1ccccc1C(=O)O,Aspirin,62.27,39.52,79.42,0.537,238.5,4.708,MIX_NUM0031,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,51.55,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,23.23,c1ccccc1,Benzene,25.22,18.12,25.53,1.367,772.3,4.896,MIX_NUM0032,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,50.29,CCO,Ethanol,11.11,CCO,Ethanol,38.61,31.46,51.07,1.859,718.0,6.508,MIX_NUM0033,100.00999999999999,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,53.12,CC(C)O,Isopropanol,19.45,CC1=CC=CC=C1,Toluene,27.43,54.68,25.77,1.652,814.9,7.167,MIX_NUM0034,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,29.14,c1ccccc1,Benzene,37.02,CC1=CC=CC=C1,Toluene,33.84,83.04,35.92,1.292,373.9,8.283,MIX_NUM0035,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,38.74,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,38.71,c1ccccc1,Benzene,22.55,71.04,64.97,0.117,828.0,8.498,MIX_NUM0036,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,28.56,CC(C)O,Isopropanol,29.22,c1ccccc1,Benzene,42.23,67.24,73.12,1.996,309.8,5.0,MIX_NUM0037,100.00999999999999,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,21.08,CCC1=CC(=C(C=C1)O)C=O,Vanillin,29.99,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,48.93,57.05,66.42,1.653,953.7,7.069,MIX_NUM0038,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,14.41,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.35,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.23,29.33,33.44,1.024,835.0,4.929,MIX_NUM0039,99.99000000000001,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,47.49,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,14.15,c1ccccc1,Benzene,38.36,48.8,32.85,1.359,574.9,6.886,MIX_NUM0040,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,46.05,c1ccccc1,Benzene,29.62,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.34,54.88,66.72,0.616,203.5,5.515,MIX_NUM0041,100.01,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,44.34,CCC1=CC(=C(C=C1)O)C=O,Vanillin,7.01,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,48.65,80.56,29.8,1.401,226.1,6.962,MIX_NUM0042,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.15,CC(=O)Oc1ccccc1C(=O)O,Aspirin,25.15,CC(C)O,Isopropanol,56.7,16.12,21.84,1.327,736.8,5.916,MIX_NUM0043,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,51.72,CC(C)O,Isopropanol,11.36,CC(C)O,Isopropanol,36.92,66.44,60.74,1.635,746.8,8.641,MIX_NUM0044,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,32.37,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,47.74,CCC1=CC(=C(C=C1)O)C=O,Vanillin,19.89,41.19,68.93,0.851,355.4,3.784,MIX_NUM0045,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,28.09,CCC1=CC(=C(C=C1)O)C=O,Vanillin,30.18,CCO,Ethanol,41.73,31.15,60.38,0.261,892.2,7.753,MIX_NUM0046,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,50.17,CC1=CC=CC=C1,Toluene,33.34,CC1=CC=CC=C1,Toluene,16.48,35.2,52.86,1.69,215.9,4.402,MIX_NUM0047,99.99000000000001,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,37.89,c1ccccc1,Benzene,47.33,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,14.78,55.86,59.51,0.946,122.3,5.631,MIX_NUM0048,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,36.32,c1ccccc1,Benzene,8.79,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,54.89,43.84,74.56,0.968,488.7,7.585,MIX_NUM0049,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.23,CCO,Ethanol,17.69,CC(=O)Oc1ccccc1C(=O)O,Aspirin,65.07,63.74,21.8,1.069,373.1,4.716,MIX_NUM0050,99.99,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,7.44,CC1=CC=CC=C1,Toluene,42.88,CCO,Ethanol,49.68,35.75,35.83,1.692,553.5,8.687,MIX_NUM0051,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.77,c1ccccc1,Benzene,53.33,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,18.9,30.27,70.17,1.723,675.9,7.341,MIX_NUM0052,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,45.57,CC1=CC=CC=C1,Toluene,13.01,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,41.42,76.31,30.85,0.387,850.5,3.972,MIX_NUM0053,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,24.13,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,61.41,CC(=O)Oc1ccccc1C(=O)O,Aspirin,14.45,83.63,34.45,1.718,115.5,6.009,MIX_NUM0054,99.99,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,8.79,c1ccccc1,Benzene,32.41,CCC1=CC(=C(C=C1)O)C=O,Vanillin,58.8,40.53,65.69,0.178,946.1,6.294,MIX_NUM0055,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,45.35,CCC1=CC(=C(C=C1)O)C=O,Vanillin,14.22,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,40.43,59.04,77.89,0.208,705.7,7.445,MIX_NUM0056,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,44.38,CC(C)O,Isopropanol,21.15,CC(=O)Oc1ccccc1C(=O)O,Aspirin,34.46,41.48,60.19,1.923,456.3,4.291,MIX_NUM0057,99.99000000000001,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,56.93,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,32.84,c1ccccc1,Benzene,10.23,38.29,77.42,1.604,444.9,8.116,MIX_NUM0058,100.00000000000001,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,31.54,CC(=O)Oc1ccccc1C(=O)O,Aspirin,24.17,CCO,Ethanol,44.29,28.12,76.35,1.614,200.6,2.34,MIX_NUM0059,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,42.6,CC(C)O,Isopropanol,34.53,c1ccccc1,Benzene,22.87,38.57,34.84,0.573,865.3,6.523,MIX_NUM0060,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,27.56,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,36.66,CC(C)O,Isopropanol,35.78,82.54,42.99,0.375,632.5,8.348,MIX_NUM0061,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,31.62,CC(C)O,Isopropanol,28.27,c1ccccc1,Benzene,40.11,47.07,72.63,0.163,317.9,2.74,MIX_NUM0062,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,42.49,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,14.29,CC1=CC=CC=C1,Toluene,43.22,58.9,63.74,1.17,935.8,8.349,MIX_NUM0063,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,33.64,CCO,Ethanol,23.21,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.15,42.85,25.89,0.549,633.8,5.106,MIX_NUM0064,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,57.1,CCC1=CC(=C(C=C1)O)C=O,Vanillin,24.43,CCC1=CC(=C(C=C1)O)C=O,Vanillin,18.47,79.67,51.56,0.329,597.6,8.568,MIX_NUM0065,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,22.35,CCC1=CC(=C(C=C1)O)C=O,Vanillin,38.75,CC1=CC=CC=C1,Toluene,38.91,73.47,68.04,1.481,848.3,7.991,MIX_NUM0066,100.00999999999999,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,43.19,CCO,Ethanol,37.89,CC(C)O,Isopropanol,18.92,47.73,41.7,0.504,636.5,8.359,MIX_NUM0067,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,53.85,CC(C)O,Isopropanol,26.15,CCC1=CC(=C(C=C1)O)C=O,Vanillin,20.0,51.35,60.84,1.512,215.9,3.462,MIX_NUM0068,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,58.13,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,9.61,c1ccccc1,Benzene,32.26,72.18,31.08,1.397,850.0,6.801,MIX_NUM0069,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,59.33,CC(C)O,Isopropanol,7.5,CC1=CC=CC=C1,Toluene,33.16,28.66,30.26,1.181,234.2,3.697,MIX_NUM0070,99.99,Synthetic mixture data with numeric conditions
CCO,Ethanol,23.12,CC1=CC=CC=C1,Toluene,39.11,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,37.78,82.1,51.14,0.962,719.4,9.072,MIX_NUM0071,100.01,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,13.15,CC1=CC=CC=C1,Toluene,41.41,c1ccccc1,Benzene,45.44,79.62,70.24,0.274,579.2,8.643,MIX_NUM0072,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,35.74,CCO,Ethanol,42.32,CC1=CC=CC=C1,Toluene,21.94,19.78,29.25,1.689,830.4,8.708,MIX_NUM0073,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,21.39,CC(=O)Oc1ccccc1C(=O)O,Aspirin,28.1,CC(C)O,Isopropanol,50.51,42.34,55.59,0.503,588.6,5.749,MIX_NUM0074,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,50.88,CC1=CC=CC=C1,Toluene,11.22,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.9,34.98,77.72,0.237,478.1,5.809,MIX_NUM0075,100.0,Synthetic mixture data with numeric conditions
CCC1=CC(=C(C=C1)O)C=O,Vanillin,40.19,CC(C)O,Isopropanol,16.31,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.5,77.53,63.27,0.419,292.2,8.145,MIX_NUM0076,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,52.14,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,7.42,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,40.44,76.69,25.29,1.374,388.0,5.915,MIX_NUM0077,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,35.45,CC(C)O,Isopropanol,36.71,CCC1=CC(=C(C=C1)O)C=O,Vanillin,27.84,74.49,61.51,0.677,618.6,9.93,MIX_NUM0078,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,9.82,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,66.76,CCC1=CC(=C(C=C1)O)C=O,Vanillin,23.42,43.15,28.14,0.517,841.1,8.314,MIX_NUM0079,100.00000000000001,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,21.42,CC1=CC=CC=C1,Toluene,31.32,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,47.26,63.25,25.24,0.647,437.3,7.34,MIX_NUM0080,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,19.83,CCO,Ethanol,42.1,CC1=CC=CC=C1,Toluene,38.07,16.82,31.11,1.738,569.7,6.338,MIX_NUM0081,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,33.88,c1ccccc1,Benzene,40.12,CC(=O)Oc1ccccc1C(=O)O,Aspirin,26.0,38.43,71.3,1.818,529.3,7.637,MIX_NUM0082,100.0,Synthetic mixture data with numeric conditions
CC1=CC=CC=C1,Toluene,13.38,c1ccccc1,Benzene,47.24,CC1=CC=CC=C1,Toluene,39.38,44.1,56.47,0.904,675.1,7.271,MIX_NUM0083,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,40.01,c1ccccc1,Benzene,42.06,CCC1=CC(=C(C=C1)O)C=O,Vanillin,17.93,15.8,54.39,0.943,155.7,3.499,MIX_NUM0084,100.0,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,48.4,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,36.58,c1ccccc1,Benzene,15.01,54.07,54.35,1.747,521.9,8.326,MIX_NUM0085,99.99,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,41.63,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,15.19,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,43.19,18.2,29.2,0.358,818.5,4.663,MIX_NUM0086,100.00999999999999,Synthetic mixture data with numeric conditions
CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,15.27,c1ccccc1,Benzene,34.1,CCO,Ethanol,50.63,18.33,22.59,1.082,602.3,3.275,MIX_NUM0087,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,14.15,CC(=O)Oc1ccccc1C(=O)O,Aspirin,23.41,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,62.44,15.21,68.51,1.165,904.1,7.096,MIX_NUM0088,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,51.75,CC(C)O,Isopropanol,34.99,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,13.26,32.11,70.48,0.304,696.5,5.359,MIX_NUM0089,100.00000000000001,Synthetic mixture data with numeric conditions
CCO,Ethanol,18.8,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,17.77,c1ccccc1,Benzene,63.43,75.69,33.91,0.978,412.2,5.71,MIX_NUM0090,100.0,Synthetic mixture data with numeric conditions
CC(C)O,Isopropanol,21.92,CN1C=NC2=C1C(=O)N(C(=O)N2C)C,Caffeine,50.29,c1ccccc1,Benzene,27.79,49.8,61.64,0.509,354.7,3.689,MIX_NUM0091,100.0,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,46.22,CCC1=CC(=C(C=C1)O)C=O,Vanillin,37.71,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,16.06,57.38,20.96,1.366,688.0,9.735,MIX_NUM0092,99.99000000000001,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,28.0,CCO,Ethanol,40.1,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,31.9,18.55,54.77,0.588,183.7,2.034,MIX_NUM0093,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,14.33,c1ccccc1,Benzene,62.49,CCO,Ethanol,23.18,81.76,69.44,0.31,810.8,6.248,MIX_NUM0094,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,62.6,c1ccccc1,Benzene,10.1,CCO,Ethanol,27.29,67.0,23.66,0.374,788.9,7.462,MIX_NUM0095,99.99000000000001,Synthetic mixture data with numeric conditions
CC(=O)Oc1ccccc1C(=O)O,Aspirin,17.67,CC1=CC=CC=C1,Toluene,59.16,CC1=CC=CC=C1,Toluene,23.17,16.77,62.29,0.551,886.6,4.968,MIX_NUM0096,100.0,Synthetic mixture data with numeric conditions
c1ccccc1,Benzene,30.61,c1ccccc1,Benzene,19.51,CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,49.88,41.07,67.9,1.819,769.8,9.674,MIX_NUM0097,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,36.55,CC(C)O,Isopropanol,40.54,CC1=CC=CC=C1,Toluene,22.91,36.74,79.97,0.801,809.3,6.481,MIX_NUM0098,100.0,Synthetic mixture data with numeric conditions
CCO,Ethanol,11.42,c1ccccc1,Benzene,62.7,CCC1=CC(=C(C=C1)O)C=O,Vanillin,25.88,21.48,65.2,0.161,416.6,4.436,MIX_NUM0099,100.0,Synthetic mixture data with numeric conditions
CC(C)Cc1ccc(cc1)C(C)C(=O)O,Ibuprofen,41.14,CC1=CC=CC=C1,Toluene,35.91,c1ccccc1,Benzene,22.95,22.91,79.29,1.012,889.8,7.344,MIX_NUM0100,100.0,Synthetic mixture data with numeric conditions
